Occupation,Level1Id,DescriptionLevel1
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"BOOKKEEPER CLOTHIERS",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"FACTORY HEAD",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"JUNIOR DESPATCH CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"FORMAN PURIFIER GAS WORKS",8,"PERSONS ENGAGED IN GAS WATER AND ELECTRICITY SUPPLY AND SANITARY SERVICE"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"POLICE SERGEANT",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"POLICE CONSTABLE",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"SOLDIER PTE ON FURLOUGH",11,"PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY"
"CARRIAGE CLEANER RAILWAY MAN",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"SCHOOL GROCERS ERRAND BOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"GROCER PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"DRESSMAKERS ASSISTANT",15,"PERSONS WORKING AND DEALING IN DRESS"
"DRESSMAKERS ASSISTANT",15,"PERSONS WORKING AND DEALING IN DRESS"
"DRESSMAKERS ASSISTANT",15,"PERSONS WORKING AND DEALING IN DRESS"
"BOOT CLOSER",15,"PERSONS WORKING AND DEALING IN DRESS"
"PORTER SHOP PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
UPHOLSTER,22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"GENERAL LABOURER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"POLICE CONSTABLE",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"POLICE CONSTABLE",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"MILLENERS ASSISTANT",15,"PERSONS WORKING AND DEALING IN DRESS"
TAILORESS,15,"PERSONS WORKING AND DEALING IN DRESS"
"STONE AND MARBLE MASON",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"BOOKBINDER STOCKKEEPER",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
HAIRDRESSER,15,"PERSONS WORKING AND DEALING IN DRESS"
"CLERK SECOND DIVISION",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"STUDENT TEACHER",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"MOTOR INSTRUMENT MAKER",19,"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"
"CASHIER DRAPERY",21,"PERSONS WORKING AND DEALING IN TEXTILE FABRICS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"COMPOSITOR PRINTERS",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
"MILLINERS ASSISTANT",15,"PERSONS WORKING AND DEALING IN DRESS"
"GENERAL LABOURER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"SEED WAREHOUSEMAN",2,"PERSONS ENGAGED IN AGRICULTURE"
"DRESSMAKER ASSISTANT",15,"PERSONS WORKING AND DEALING IN DRESS"
"RAILWAY WAGON RINDTER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
COMPOSITOR,18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
"RAILWAY STATION MASTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"TEACHER OF MUSIC",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"TELEGRAPH LINEMANS G W RY",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"GENERAL SERVANT DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"GENERAL LABOURER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"INSURANCE AGENT",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"PENSIONED CIVIL SERVANT ATTENDANT",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"SOLICITOR'S CLEKR",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"BOOK-KEEPING CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"PORTER G W RAILWAY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"GOODS GUARD",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
BRICKLAYER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"COOK DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"ADVERTISING SUPERINTENDENT",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"RAILWAY PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"LIBRARY ASSISTANT",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
"SCHOOL CLEANER",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"GENERAL SERVENT DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"OLD AGE PENSIONER",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"ENGINE FITTER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"MOTOR FITTER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
CARPENTER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"DRAPERS ASSISTANT SHOP",21,"PERSONS WORKING AND DEALING IN TEXTILE FABRICS"
"JOBBING HOUSE DECORATOR",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"BOILER STOKER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"TELEGRAPH INSTRUMENT MAKER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
CHASING,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
BRICKLAYER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"BRICK LOYER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"DRESSMAKER ASSISTANT",15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
NONE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"RAILWAY CARMAN",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
NAVVY,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
INDEPENDENT,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"CHEMIST AND DRUGGIST",14,"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"
"POLICE PENSIONER BUILDERS YARD MAN",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"FRUITERERS ASSISTANT",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
XX,NULL,NULL
XX,NULL,NULL
"BUILDER'S GENERAL FOREMAN",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
BRICKLAYER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
BRICKLAYER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"HOUSEKEEPER TO HEAD",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"SALESMAN HAY AND STRAW",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"HOTEL BILLIARD MARKER",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"LAUNDRY MAID",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"COACH PAINTER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"GENTLEMENS TAILOR",15,"PERSONS WORKING AND DEALING IN DRESS"
"INSTRUMENT MAKER",19,"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"TOOL MAKER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"PRINTER'S READER",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
"MONOTYPE CASTER",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
COMPOSITOR,18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"LEAD GLASS WORKER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"ORGAN BLOWER",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"MONTHLY NURSE",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"RAILWAY GOODS CLERK",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"CASHIER DRAPERY",21,"PERSONS WORKING AND DEALING IN TEXTILE FABRICS"
"RAILWAY BOOKING CLERK",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"PARISH RELIEF",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"RLY TICKET COLLECTOR",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
PLUMBER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"CARMAN PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"PORTER CARMAN",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
CARPENTER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"RAILWAY GOODS CHECKER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"RAILWAY GOODS PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"OUT OF WORK GARDENER AND CARETAKER",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
CHARWOMAN,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"GOODS GUARD",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"OLD AGE PENSIONER",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"FRUITERERS ASSISTANT",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"RATES CLERK",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"DRESSMAKERS ASSISTANT",15,"PERSONS WORKING AND DEALING IN DRESS"
"AT SCHOOL",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
POSTMAN,9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"CHILDRENS DRESSMAKER",15,"PERSONS WORKING AND DEALING IN DRESS"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
VERGER,10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"CHURCH CLEANER",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
CHARWOMAN,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"HOUSE BOY",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"G P O HEAD POSTMAN",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"ASSISTANT SALESWOMAN BOOT TRADE",15,"PERSONS WORKING AND DEALING IN DRESS"
"G P O TELEGRAPH MESSAGER",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"ASSISTANT DRESSMAKING",15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"BOOT REPAIRER",15,"PERSONS WORKING AND DEALING IN DRESS"
"DRESSMAKERS ASSIST",15,"PERSONS WORKING AND DEALING IN DRESS"
"MANAGER AT BOOTSHOP",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"BOOT REPAIRER",15,"PERSONS WORKING AND DEALING IN DRESS"
BRICKLAYER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"LIVING AT HOME",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
BOOK-KEEPER,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"GUN FITTER AND INSTRUCTOR",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"MONUMENTED MASON",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"A B SEAMAN",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
TAILORESS,15,"PERSONS WORKING AND DEALING IN DRESS"
"MASONS LABOURER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"RAILWAY BOOKING CLERK",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"SHORTHAND TYPIST",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"SWITCH BOARD ATTENDANT",8,"PERSONS ENGAGED IN GAS WATER AND ELECTRICITY SUPPLY AND SANITARY SERVICE"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"PENSIONER OLD AGE",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
POTMAN,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
POLISHER,22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"TRAIN MOTORMAN",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
LAUNDRESS,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"TOBACCONIST ASSISTANT",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"LAW CLERK",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"SALESMAN TYPEWRITING",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
DOMESTIC,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"RAILWAY PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"RAILWAY BOOKING CLERK STUDENT",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"RAILWAY BOOKING CLERK STUDENT",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"GUARD RETIRED RAILWAYMAN",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
NONE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"RAILWAY PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"MILK CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"RAILWAY PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"GENERAL LABOURER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"MILK CARRIER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"GENERAL SERVANT DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"RAILWAY SERVANT BOOTHMAN",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
HOME,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
LABOURER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
LABOURER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"BAG MACHINIST LEATHER",20,"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"
"ARTIFICIAL FLOWER MAKER",15,"PERSONS WORKING AND DEALING IN DRESS"
"COMMERCIAL TRAVELLER GLASS",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
SHOEMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"RAILWAY PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"POLICE CONSTABLE",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"ERRAND BOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"POLICE CONSTABLE",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"BOOTMAKER REPAIRER",15,"PERSONS WORKING AND DEALING IN DRESS"
"BOOTMAKER REPAIRER",15,"PERSONS WORKING AND DEALING IN DRESS"
"CARTAGE FOREMAN",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"RETIRED DRAPER",21,"PERSONS WORKING AND DEALING IN TEXTILE FABRICS"
"BOOT MAKER",15,"PERSONS WORKING AND DEALING IN DRESS"
"BOOT FOLDER",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
"CARPENTER S JOINER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
WAITRESS,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"PLASTERERS LABOURER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
XX,NULL,NULL
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"CHIMNEY SWEEP",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"SHOP BAY",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"DEALER RAGS",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
PLATELAYER,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
LAUNDRESS,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
VANDGUARD,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
PLATELAYER,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"GARDENER FLORIST",2,"PERSONS ENGAGED IN AGRICULTURE"
"TABACONIST ASSISTANT",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"JUNIOR CLERK FIRE INSURANCE",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"METAL FARMER MOTOR WORKS",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"NONE OLD AGE PENSIONER",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"FOREMAN TIMBER PORTER",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"DRESSMAKER APPRENTICE",15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
